"Year","Author","Title","Publication","DOI","Noymeir","Salaetal","IntroductionOrReview","Methods","Results","Discussion","Continent","Approach","Plant types","Type","ITE Results","ITE = Woody plants","Supports ITE","Investigation"
1986,"Hacker, R. B.","Effect of grazing on chemical and physical properties of an earthy sand in the Western Australian mulga zone","The Rangeland Journal","10.1071/RJ9860011",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
1988,"Sala, O. E.; Parton, W. J.; Joyce, L. A.; Lauenroth, W. K.","Primary Production of the Central Grassland Region of the United States","Ecology","10.2307/1943158",1,0,1,0,0,1,"North America","Compared ANPP across soil types along precipitation gradient","all","field study","Relationship between MAP and ANPP depends on soil texture. Coarse soils are favorable below 370 mm MAP and fine soils are favorable above this point.","No","Yes","Yes"
1989,"Gosz, James R.; Sharpe, Peter JH","Broad-scale concepts for interactions of climate, topography, and biota at biome transitions","Landscape Ecology","10.1007/BF00131541",1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
1989,"Liang, Y. M.; Hazlett, D. L.; Lauenroth, W. K.","Biomass dynamics and water use efficiencies of five plant communities in the shortgrass steppe","Oecologia","10.1007/BF00380143",1,1,0,0,0,1,"North America","Compared biomass and water use efficiency across 5 plant communities in short grass steppe","all","field study","Above and belowground biomass increased with shrub component. Grass production was not significantly different among sites. Shrub biomass was greater on coarse-textured sites.","No","Yes","Yes"
1989,"Tongway, D. J.; Ludwig, J. A.; Whitford, W. G.","Mulga log mounds: Fertile patches in the semi-arid woodlands of eastern Australia","Australian Journal of Ecology","10.1111/j.1442-9993.1989.tb01436.x",1,0,0,0,0,1,"Australia","Compared standing crop biomass between log-associated soil mounds and open areas.","shrubs, grasses, forbs","field study","Mounds of soil/termite galleries in mounds are enriched in sand, with faster infiltration and higher standing biomass than adjacent areas.","No","Yes","No"
1990,"Coughenour, Michael B.; Coppock, David L.; Ellis, James E.","Herbaceous forage variability in an arid pastoral region of Kenya: importance of topographic and rainfall gradients","Journal of Arid Environments","10.1016/S0140-1963(18)30813-9",1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
1990,"Detling, T.; Doehring, D.; DeCoursey, W.; Hanson, O.; Hautaluoma, D.; Hoffer, B.; Wiens, J. A.; Woodmansee, R. G.","Long-Term Ecological Research Program: Shortgrass steppe","",NA,0,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
1991,"Cornelius, Joe M.; Kemp, Paul R.; Ludwig, John A.; Cunningham, Gary L.","The distribution of vascular plant species and guilds in space and time along a desert gradient","Journal of Vegetation Science","10.2307/3235898",1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,"No"
1991,"Dargie, T. C. D.; El Demerdash, M. A.","A quantitative study of vegetation - environment relationships in two Egyptian deserts","Journal of Vegetation Science","10.2307/3235891",1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,"No"
1991,"Gosz, James R.","Fundamental Ecological Characteristics of Landscape Boundaries","Ecotones","10.1007/978-1-4615-9686-8_2",1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
1992,"Gosz, James R.","Ecological Functions in a Biome Transition Zone: Translating Local Responses to Broad-Scale Dynamics","Landscape Boundaries","10.1007/978-1-4612-2804-2_3",1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
1992,"Gosz, James R.","Gradient Analysis of Ecological Change in Time and Space: Implications for Forest Management","Ecological Applications","10.2307/1941859",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
1992,"Gosz, James R.; Parmenter, Robert R.; Marshall, Diane","Ecological Indicators in a Desert/Grassland Transition","Ecological Indicators","10.1007/978-1-4615-4659-7_42",1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
1993,"Seagle, StevenW.; McNaughton, S.J.","Simulated effects of precipitation and nitrogen on Serengeti grassland productivity","Biogeochemistry","10.1007/BF00000645",1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
1994,"Coffin, Debra P.; Lauenroth, William K.","Successional dynamics of a semiarid grassland: effects of soil texture and disturbance size","Vegetatio","10.1007/BF00038715",1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
1994,"Knight, Dennis H.; Vose, James M.; Baldwin, V. Clark; Ewel, Katherine C.; Grodzinska, Krystyna; Grodzinska, Kristina","Contrasting patterns in pine forest ecosystems","Ecological Bulletins","https://www.jstor.org/stable/20113128",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
1994,"Van Rooyen, N.; Bredenkamp, G. J.; Theron, G. K.; Bothma, J. du P.; Le Riche, E. A. N.","Vegetational gradients around artificial watering points in the Kalahari Gemsbok National Park","Journal of Arid Environments","10.1006/jare.1994.1037",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
1994,"West, Neil E.","Effects of fire on salt-desert shrub rangelands","Proceedings: Ecology and management of annual rangelands. Gen. Tech. Rep. INT-313. Ogden, UT: US Department of Agriculture, Forest Service, Intermountain Research Station","10.2737/INT-GTR-313",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
1995,"Burgess, Tony L.","Desert grassland, mixed shrub savanna, shrub steppe, or semidesert scrub","The desert grassland",NA,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
1997,"Agnew, A. D. Q.","Swiches, pulses and grazing in arid vegetation","Journal of Arid Environments","10.1006/jare.1997.0304",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
1997,"Burke, Ingrid C.; Lauenroth, William K.; Parton, William J.","REGIONAL AND TEMPORAL VARIATION IN NET PRIMARY PRODUCTION AND NITROGEN MINERALIZATION IN GRASSLANDS","Ecology","10.1890/0012-9658(1997)078[1330:RATVIN]2.0.CO;2",0,1,0,0,0,1,"North America","Compared ANPP across gradients of precipitation, temperature, soil texture, and nitrogen.","all","modeling","Effects of soil texture on N mineralization tend to be small, particularly at low precipitation (~300 mm), as increased N-turnover due to decomposition on sandy soil and decreased organic matter storage tend to balance out.","No","No","No"
1997,"Dodd, M. B.; Lauenroth, W. K.","The influence of soil texture on the soil water dynamics and vegetation structure of a shortgrass steppe ecosystem","Plant Ecology","10.1023/A:1009759421640",1,1,0,0,0,1,"North America","Compared annual ANPP across 3 sites over 4 years.","shrubs, grasses, forbs","field study","ANPP was consistent with ITE  in 3 of 4 years. Higher productivity on coarser soils was associated with woody plants, while grass biomass was similar across soils. Plants were taller on coarse- than fine-textured sites.","No","Yes","No"
1997,"Epstein, H. E.; Lauenroth, W. K.; Burke, I. C.","EFFECTS OF TEMPERATURE AND SOIL TEXTURE ON ANPP IN THE U.S. GREAT PLAINS","Ecology","10.1890/0012-9658(1997)078[2628:EOTAST]2.0.CO;2",1,1,1,0,0,1,"North America","Compared average ANPP across soil types by binning MAP into 100 mm increments. Also tested for relationship between ANPP and MAT.","all","field study","Soil texture was more important than MAT at driest (below 400 mm MAP) and wettest (>700 mm MAP) sites, but MAT was more important at sites with MAP 400-800 mm and was not important above 800 mm MAP. MAT had a negative effect on ANPP where relevant. Crossover occurs between 800 and 850 mm MAP.","No","Yes","Yes"
1998,"Lane, Diana R.; Coffin, Debra P.; Lauenroth, William K.","Effects of soil texture and precipitation on above-êground net primary productivity and vegetation structure across the Central Grassland region of the United States","Journal of Vegetation Science","10.2307/3237123",1,1,1,1,1,1,"North America","Compared annual ANPP across 14 sites in the central grasslands of the U.S. over two years.","all","field study","ITE not detected in either year. Soil texture may be more relevant for community composition (e.g., relative abundance of functional types) than aboveground net primary production.","No","No","Yes"
1998,"Singh, J. S.; Milchunas, D. G.; Lauenroth, W. K.","Soil water dynamics and vegetation patterns in a semiarid grassland","Plant ecology","10.1023/A:1009769620488",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
1998,"Van Rooyen, N.; Van Rooyen, M. W.","VEGETATION OF THE SOUTH-WESTERN ARID KALAHARI: AN OVERVIEW","Transactions of the Royal Society of South Africa","10.1080/00359199809520381",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
1999,"Andersen, Gidske L.","Change and variation in a hyper-arid cultural landscape: A merhodological approach using remote sensing timeseries (Landsat MSS and TM, 1973-1996) from the Wadi vegetation of the eastern desert of Egypt","",NA,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
1999,"Knight, Dennis H.","15 Ponderosa and Limber Pine Woodlands","Savannas, barrens, and rock outcrop plant communities of North America","10.1017/CBO9780511574627.016",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
1999,"Lauenroth, William K.; Burke, Ingrid C.; Gutmann, Myron P.","The structure and function of ecosystems in the central North American grassland region","Great Plains Research","https://www.jstor.org/stable/23778224",1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
1999,"Menezes, R. S. C.; Salcedo, I. H.","Influence of tree species on the herbaceous understory and soil chemical characteristics in a silvopastoral system in semi-arid northeastern Brazil","Revista Brasileira de Ci√™ncia do Solo","10.1590/S0100-06831999000400008",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2000,"Nouvellon, Yann; Rambal, Serge; Seen, D. Lo; Moran, M. Susan; Lhomme, Jean-Paul; Begue, Agnes; Chehbouni, A. Ghani; Kerr, Yann","Modelling of daily fluxes of water and carbon from shortgrass steppes","Agricultural and Forest Meteorology","10.1016/S0168-1923(99)00140-9",0,1,0,0,0,1,"North America","Compared simulated T/AET ratio across soil textures for a site in southwestern U.S.","grasses","modeling","Reducing field capacity of 0-15 cm soil layers increased infiltration, reduced evaporation, and increased T/AET and water use efficiency.","No","Yes","No"
2001,"Fernandez-Illescas, Coral Pilar; Porporato, Amilcare; Laio, Franscesco; Rodriguez-Iturbe, Ignacio","The ecohydrological role of soil texture in a water-êlimited ecosystem","Water Resources Research","10.1029/2000WR000121",1,0,1,0,0,1,"North America","Investigated soil texture and precipitation effects on shrub and grass species in subtropical dryland.","grass, shrub","modeling","Both grasses and trees do better on coarse soils under dry conditions, and this shifts to fine soils as moisture increases. Coarser soils require smaller water inputs to transition from below wilting point to unstressed conditions. Drainage can be greater for shallow- than deep-rooted species, depending on climate and soil.","No","Yes","Yes"
2001,"Laio, Francesco; Porporato, Amilcare; Fernandez-Illescas, C. P.; Rodriguez-Iturbe, I.","Plants in water-controlled ecosystems: active role in hydrologic processes and response to water stress: IV. Discussion of real cases","Advances in Water Resources","10.1016/S0309-1708(01)00007-0",1,0,1,0,0,1,"North America","Investigated how annual precipitation affects stress and favorability to the dominant grass in the shortgrass steppe between wet and dry years across different soil textures.","grass","modeling","Dominant grass is very sensitive to soil texture under dry conditions, and spends less time in stressed conditions on sand than clay or silt loam. Annual precipitation of about 370 mm is the crossover point for grass performance on sand versus other soils.Sensitivity to soil texture decreases under wetter conditions, and it is slighly less stressed on finer soils.","No","Yes","Yes"
2001,"Sala, Osvaldo E.","Productivity of temperate grasslands","Terrestrial global productivity","10.1016/B978-0-12-505290-0.X5000-5",1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2002,"Porporato, A.; D'odorico, P.; Laio, Francesco; Ridolfi, Luca; Rodriguez-Iturbe, I.","Ecohydrology of water-controlled ecosystems","Advances in Water Resources","10.1016/S0309-1708(02)00058-1",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2003,"Brown, G.; Al-Mazrooei, S.","Rapid vegetation regeneration in a seriously degraded Rhanterium epapposum community in northern Kuwait after 4 years of protection","Journal of environmental management","10.1016/S0301-4797(03)00107-5",1,0,0,0,0,1,"Asia","Compared shrub, grass, and annual plant cover between grazed sites and sites protected from grazing for 4 years.","shrubs, grasses, forbs","field study","Vegetation recovery was much greater on coarse- than fine-textured soils.","No","Yes","No"
2003,"Brown, Gary; Peacock, John; Loughland, Ron; Aldrami, Ghaleb A.","Coastal and terrestrial ecosystem management requirements in the GCC States","Environmental Research and Wildlife Development Agency, Abu Dhabi",NA,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2003,"Brown, Karl Eric","Mapping and modeling leafy spurge spread in Theodore Roosevelt National Park, North Dakota using spatial information and spatial statistics","",NA,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2003,"Martinez, Armando J.; Lopez-Portillo, Jorge","Allometry of Prosopis glandulosa var. torreyana along a topographic gradient in the Chihuahuan desert","Journal of Vegetation Science","10.1111/j.1654-1103.2003.tb02133.x",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2003,"Ogle, Kiona","Desert dogma revisited: Physiological and growth responses of Larrea tridentata (Creosotebush) to annual, seasonal, and pulse precipitation","",NA,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2004,"Austin, Amy T.; Yahdjian, Laura; Stark, John M.; Belnap, Jayne; Porporato, Amilcare; Norton, Urszula; Ravetta, Damian A.; Schaeffer, Sean M.","Water pulses and biogeochemical cycles in arid and semiarid ecosystems","Oecologia","10.1007/s00442-004-1519-1",1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
