"Item.Type","Publication.Year","Author","Title","Publication.Title","DOI","Pages","Issue","Volume","Salaetal_v1","Salaetal_v2"
"journalArticle",1989,"Gosz, James R.; Sharpe, Peter JH","Broad-scale concepts for interactions of climate, topography, and biota at biome transitions","Landscape Ecology","","229–243","3-4",3,1,1
"journalArticle",1989,"Liang, Y. M.; Hazlett, D. L.; Lauenroth, W. K.","Biomass dynamics and water use efficiencies of five plant communities in the shortgrass steppe","Oecologia","","148–153","",80,0,1
"journalArticle",1989,"Liang, Y. M.; Hazlett, D. L.; Lauenroth, W. K.","Biomass dynamics and water use efficiencies of five plant communities in the shortgrass steppe","Oecologia","10.1007/BF00380143","148-153","2",80,1,0
"journalArticle",1990,"Coughenour, Michael B.; Coppock, David L.; Ellis, James E.","Herbaceous forage variability in an arid pastoral region of Kenya: importance of topographic and rainfall gradients","Journal of Arid Environments","","147–159","2",19,1,1
"document",1990,"Detling, T.; Doehring, D.; DeCoursey, W.; Hanson, O.; Hautaluoma, D.; Hoffer, B.; Wiens, J. A.; Woodmansee, R. G.","Long-Term Ecological Research Program: Shortgrass steppe","","","","",NA,1,0
"bookSection",1991,"Gosz, James R.","Fundamental Ecological Characteristics of Landscape Boundaries","Ecotones","","8-30","",NA,1,1
"bookSection",1992,"Gosz, James R.","Ecological Functions in a Biome Transition Zone: Translating Local Responses to Broad-Scale Dynamics","Landscape Boundaries","","55-75","",92,1,1
"bookSection",1992,"Gosz, James R.; Parmenter, Robert R.; Marshall, Diane","Ecological Indicators in a Desert/Grassland Transition","Ecological Indicators","","739-763","",NA,1,1
"journalArticle",1993,"Seagle, StevenW.; McNaughton, S.J.","Simulated effects of precipitation and nitrogen on Serengeti grassland productivity","Biogeochemistry","10.1007/BF00000645","","3",22,1,0
"journalArticle",1994,"Coffin, Debra P.; Lauenroth, William K.","Successional dynamics of a semiarid grassland: effects of soil texture and disturbance size","Vegetatio","10.1007/BF00038715","67-82","1",110,1,1
"journalArticle",1997,"Burke, Ingrid C.; Lauenroth, William K.; Parton, William J.","REGIONAL AND TEMPORAL VARIATION IN NET PRIMARY PRODUCTION AND NITROGEN MINERALIZATION IN GRASSLANDS","Ecology","10.1890/0012-9658(1997)078[1330:RATVIN]2.0.CO;2","1330-1340","5",78,1,1
"journalArticle",1997,"Dodd, M. B.; Lauenroth, W. K.","[No title found]","Plant Ecology","10.1023/A:1009759421640","13-28","1",133,1,0
"journalArticle",1997,"Dodd, M. B.; Lauenroth, W. K.","The influence of soil texture on the soil water dynamics and vegetation structure of a shortgrass steppe ecosystem","Plant Ecology","10.1023/A:1009759421640","13-28","1",133,0,1
"journalArticle",1997,"Epstein, H. E.; Lauenroth, W. K.; Burke, I. C.","EFFECTS OF TEMPERATURE AND SOIL TEXTURE ON ANPP IN THE U.S. GREAT PLAINS","Ecology","10.1890/0012-9658(1997)078[2628:EOTAST]2.0.CO;2","2628-2631","8",78,1,1
"journalArticle",1998,"Lane, Diana R.; Coffin, Debra P.; Lauenroth, William K.","Effects of soil texture and precipitation on above‐ground net primary productivity and vegetation structure across the Central Grassland region of the United States","Journal of Vegetation Science","10.2307/3237123","239-250","2",9,1,1
"journalArticle",1999,"Lauenroth, William K.; Burke, Ingrid C.; Gutmann, Myron P.","The structure and function of ecosystems in the central North American grassland region","Great Plains Research","","223–259","",NA,1,1
"journalArticle",2000,"Nouvellon, Yann; Rambal, Serge; Seen, D. Lo; Moran, M. Susan; Lhomme, Jean-Paul; Bégué, Agnès; Chehbouni, A. Ghani; Kerr, Yann","Modelling of daily fluxes of water and carbon from shortgrass steppes","Agricultural and Forest Meteorology","","137–153","2-3",100,1,1
"bookSection",2001,"Sala, Osvaldo E.","Productivity of temperate grasslands","Terrestrial global productivity","","285–300","",NA,0,1
"journalArticle",2001,"Sala, Osvaldo E.","Productivity of temperate grasslands","Terrestrial global productivity","","285–300","",NA,1,0
"thesis",2003,"Ogle, Kiona","Desert dogma revisited: Physiological and growth responses of Larrea tridentata (Creosotebush) to annual, seasonal, and pulse precipitation","","","","",NA,1,1
"journalArticle",2004,"Austin, Amy T.; Yahdjian, Laura; Stark, John M.; Belnap, Jayne; Porporato, Amilcare; Norton, Urszula; Ravetta, Damián A.; Schaeffer, Sean M.","Water pulses and biogeochemical cycles in arid and semiarid ecosystems","Oecologia","","221–235","",141,0,1
"journalArticle",2004,"Austin, Amy T.; Yahdjian, Laura; Stark, John M.; Belnap, Jayne; Porporato, Amilcare; Norton, Urszula; Ravetta, Damián A.; Schaeffer, Sean M.","Water pulses and biogeochemical cycles in arid and semiarid ecosystems","Oecologia","10.1007/s00442-004-1519-1","221-235","2",141,1,0
"journalArticle",2004,"Huxman, Travis E.; Cable, Jessica M.; Ignace, Danielle D.; Eilts, J. Alex; English, Nathan B.; Weltzin, Jake; Williams, David G.","Response of net ecosystem gas exchange to a simulated precipitation pulse in a semi-arid grassland: the role of native versus non-native grasses and soil texture","Oecologia","","295–305","",141,0,1
"journalArticle",2004,"Huxman, Travis E.; Cable, Jessica M.; Ignace, Danielle D.; Eilts, J. Alex; English, Nathan B.; Weltzin, Jake; Williams, David G.","Response of net ecosystem gas exchange to a simulated precipitation pulse in a semi-arid grassland: the role of native versus non-native grasses and soil texture","Oecologia","10.1007/s00442-003-1389-y","295-305","2",141,1,0
"journalArticle",2004,"Kröel‐Dulay, György; Ódor, Péter; Peters, Debra P. C.; Hochstrasser, Tamara","Distribution of plant species at a biome transition zone in New Mexico","Journal of Vegetation Science","10.1111/j.1654-1103.2004.tb02292.x","531-538","4",15,1,1
