"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XYASEUQF","journalArticle","2023","Gao, Xiaotian; Li, Frank Yonghong","The inverse texture effect of soil on vegetation in temperate grasslands of China: Benchmarking soil texture effect","Geoderma","","","","https://www.sciencedirect.com/science/article/pii/S001670612300318X","","2023","2024-10-05 01:18:23","2024-10-05 01:18:23","2024-10-05 01:17:27","116641","","","438","","","The inverse texture effect of soil on vegetation in temperate grasslands of China","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\rache\Zotero\storage\ACW4K3GT\S001670612300318X.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YIF5XZNS","journalArticle","2019","Renne, Rachel R.; Bradford, John B.; Burke, Ingrid C.; Lauenroth, William K.","Soil texture and precipitation seasonality influence plant community structure in North American temperate shrub steppe","Ecology","","0012-9658, 1939-9170","10.1002/ecy.2824","https://esajournals.onlinelibrary.wiley.com/doi/10.1002/ecy.2824","Abstract                            In drylands, the coexistence of grasses and woody plants has been attributed to soil‐water resource partitioning. Soil texture and precipitation seasonality can influence the amount and distribution of water in the soil, and their interaction may play an important role in determining the relative importance of grasses and woody plants. We investigated the influence of this interaction on plant functional types across a broad range of precipitation regimes and soil textures in western North America by analyzing plant‐cover data collected at 2,084 plots that included the widespread shrub big sagebrush (               Artemisia tridentata               Nutt.). We characterized how the significance of the inverse‐texture effect varies across soil conditions by quantifying relationships between precipitation and foliar cover on finer‐ vs. coarser‐textured soils across a range of potential texture divisions represented by sand content. We found evidence of the inverse‐texture effect for every plant functional type (except for cheatgrass) that we examined with at least one component of precipitation (annual, warm, or cold season), and provide the first evidence for this effect in locations with cold‐season‐dominated precipitation regimes. The texture and precipitation combinations that exhibited the inverse‐texture effect varied with plant functional type, presumably because of effects of soil texture on water availability at different soil depths with season. Furthermore, we found an inverse‐texture effect that was remarkably similar for shrub cover with cold‐season precipitation and grass cover with warm‐season precipitation. These results provide new insight into how the inverse‐texture effect interacts with precipitation seasonality to influence plant functional type composition in drylands, and further suggest that quantifying the soil‐texture division at which the inverse‐texture effect is relevant under a given set of environmental conditions may provide support for the effect across dryland plant communities.","2019-11","2024-10-05 01:18:23","2024-10-05 01:18:23","2024-10-05 01:17:27","e02824","","11","100","","Ecology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R8387YN3","journalArticle","2019","Osborn, Blake J.; Williams, David G.","Lodgepole pine tree-ring growth, Δ 13 C and the inverse texture effect across a soil chronosequence in glacial till","Plant and Soil","","","","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11104-019-04243-2&casa_token=wp5D1vAoawUAAAAA:1gaSaHJ_zx1kQdzH3ct88MSZn4lnZsA_lZICBdsv_SxgXuTY6VYQ9VHHznYmEPhKNd5Cr6Lv6v0jYLBBcA","","2019","2024-10-05 01:18:23","2024-10-05 01:18:23","2024-10-05 01:17:29","387–399","","","443","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\rache\Zotero\storage\U8WPWQVP\s11104-019-04243-2.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9KQWX7KL","journalArticle","2015","Fensham, Roderick J.; Butler, Don W.; Foley, Jenny","How does clay constrain woody biomass in drylands?","Global Ecology and Biogeography","","1466-822X, 1466-8238","10.1111/geb.12319","https://onlinelibrary.wiley.com/doi/10.1111/geb.12319","Abstract                            Aim               To investigate the role of clay in limiting the development of woody biomass in drylands.                                         Location                                A                 ustralia.                                                        Methods                                Spatial data representing woody biomass, soil clay content and climate for the                 A                 ustralian continent were interpreted to explore the relationship between a moisture index and woody biomass on clay and non‐clay substrates. Moisture and soil water potential were investigated through time for clay and sand plains. Sub‐soil clay and other soil characteristics were compared between areas with and without high tree mortality after drought.                                                        Results                                The substantially lower woody biomass on clay soils than non‐clay soils in the drylands of the                 A                 ustralian continent verifies the inverse texture effect. A clay floodplain consistently held more water than an adjacent sandplain, but soil moisture in the clay was effectively inaccessible to plants for much longer periods because of more negative values of water potential in the clay soil. Small increases in sub‐soil clay were associated with high tree mortality.                                                        Main conclusions               Our findings suggest that the ‘inverse texture effect’, which describes the negative association of woody biomass with soil clay content in drylands, may mostly relate to the moisture‐retentive properties of clay rather than being caused by reduced infiltration and enhanced evaporation from clay‐rich soils. Our evidence suggests that clay soils constrain woodiness in drylands by exacerbating water stress, and confirm the fundamental role of aridity in determining woody biomass and the global distribution of grassland.","2015-08","2024-10-05 01:18:23","2024-10-05 01:18:23","2024-10-05 01:17:30","950-958","","8","24","","Global Ecology and Biogeography","","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BBVNX5TK","journalArticle","1997","Epstein, H. E.; Lauenroth, W. K.; Burke, I. C.","EFFECTS OF TEMPERATURE AND SOIL TEXTURE ON ANPP IN THE U.S. GREAT PLAINS","Ecology","","0012-9658","10.1890/0012-9658(1997)078[2628:EOTAST]2.0.CO;2","http://doi.wiley.com/10.1890/0012-9658(1997)078[2628:EOTAST]2.0.CO;2","","1997-12","2024-10-05 01:18:23","2024-10-05 01:18:23","2024-10-05 01:17:33","2628-2631","","8","78","","Ecology","","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REDPP8FL","journalArticle","1988","Sala, O. E.; Parton, W. J.; Joyce, L. A.; Lauenroth, W. K.","Primary Production of the Central Grassland Region of the United States","Ecology","","0012-9658, 1939-9170","10.2307/1943158","https://esajournals.onlinelibrary.wiley.com/doi/10.2307/1943158","Aboveground net primary production of grasslands is strongly influenced by the amount and distribution of annual precipitation. Analysis of data collected at 9500 sites throughout the central United States confirmed the overwhelming importance of water availability as a control of production. The regional spatial pattern of production reflected the east—west gradient in annual precipitation. Lowest values of aboveground net primary production were observed in the west and highest values in the east. This spatial pattern was shifted eastward during unfavorable years and westward during favorable years. Variability in production among years was maximum in northern New Mexico and southwestern Kansas and decreased towards the north and south. The regional pattern of production was largely accounted for by annual precipitation. Production at the site level was explained by annual precipitation, soil water—holding capacity, and an interaction term. Our results support the inverse texture hypothesis. When precipitation is <370 mm/yr, sandy soils with low water—holding capacity are more productive than loamy soils with high water—holding capacity, while the opposite pattern occurs when precipitation is >370 mm/yr.","1988-02","2024-10-05 01:18:23","2024-10-05 01:18:23","2024-10-05 01:17:36","40-45","","1","69","","Ecology","","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","C:\Users\rache\Zotero\storage\Z2B98WSH\Sala et al. - 1988 - Primary Production of the Central Grassland Region.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SMXV3S5H","journalArticle","1998","Lane, Diana R.; Coffin, Debra P.; Lauenroth, William K.","Effects of soil texture and precipitation on above‐ground net primary productivity and vegetation structure across the Central Grassland region of the United States","Journal of Vegetation Science","","1100-9233, 1654-1103","10.2307/3237123","https://onlinelibrary.wiley.com/doi/10.2307/3237123","Abstract.               A potentially important organizing principle in arid and semi‐arid systems is the inverse‐texture hypothesis which predicts that plant communities on coarse‐textured soils should have higher above‐ground net primary productivity (ANPP) than communities on fine‐textured soils; the reverse is predicted to occur in humid regions. Our objectives were: (1) to test predictions from the inverse‐texture hypothesis across a regional precipitation gradient, and (2) to evaluate changes in community composition and basal cover on coarse‐ and fine‐textured soils across this gradient to determine how these structural parameters may affect ANPP. Sites were located along a precipitation gradient through the Central Grassland region of the United States: mean annual precipitation ranges from 311 mm/y to 711 mm/y, whereas mean annual temperature ranges from 9 °C to 11 °C.                          For both coarse‐ and fine‐textured sites in 1993 and 1994, August ‐ July precipitation in the year of the study explained greater than 92% of the variability in ANPP. Soil texture did not explain a significant proportion of the variability in ANPP. However, soil texture did affect the proportion of ANPP contributed by different functional types. Forbs and shrubs made up a larger proportion of total ANPP on coarse‐ compared to fine‐textured sites. Shrubs contributed more to ANPP at the drier end of the gradient. Basal cover of live vegetation was not significantly related to precipitation and was similar for both soil textures. Our results revealed that across a regional precipitation gradient, soil texture may play a larger role in determining community composition than in determining total ANPP.","1998-04","2024-10-05 01:18:23","2024-10-05 01:18:23","2024-10-05 01:17:39","239-250","","2","9","","J Vegetation Science","","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H64C3EP3","journalArticle","2001","Fernandez‐Illescas, Coral Pilar; Porporato, Amilcare; Laio, Franscesco; Rodriguez‐Iturbe, Ignacio","The ecohydrological role of soil texture in a water‐limited ecosystem","Water Resources Research","","0043-1397, 1944-7973","10.1029/2000WR000121","https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2000WR000121","Soil texture is a key variable in the coupled relationship between climate, soil, and vegetation. This coupling and its dependence on soil texture are studied in this paper using analytical descriptions for soil moisture dynamics and the corresponding vegetation water stress. Results confirm the importance of soil texture in partitioning rainfall into the mean values of the water balance loss components, namely, evapotranspiration, leakage, and runoff, and in determining vegetation water stress for the vegetation and climatic regimes of the La Copita Research Area in Texas. Two separate mechanisms by which this sensitivity to soil texture can impact the ecological structure at La Copita are illustrated. First, dynamics similar to the inverse texture effect, whereby the optimal soil texture for a given vegetation type changes with rainfall amount, are demonstrated for the two most common species at this site. Second, it is shown that soil texture plays a major role in the modulation of the impact that interannual rainfall fluctuations have on the fitness and coexistence of trees and grasses.","2001-12","2024-10-05 01:18:23","2024-10-05 01:18:23","2024-10-05 01:17:42","2863-2872","","12","37","","Water Resources Research","","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9M4MYRMM","bookSection","2008","Tsoar, H.","Land Use and its Effect on the Mobilization and Stabilization of the North-Western Negev Sand Dunes","Arid Dune Ecosystems","978-3-540-75497-8 978-3-540-75498-5","","","http://link.springer.com/10.1007/978-3-540-75498-5_6","","2008","2024-10-05 01:18:23","2024-10-05 01:18:23","2024-10-05 01:17:48","79-89","","","200","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","Series Title: Ecological Studies DOI: 10.1007/978-3-540-75498-5_6","","","","","","Breckle, Siegmar-W.; Yair, Aaron; Veste, Maik","Caldwell, M. M.; Heldmaier, G.; Jackson, R. B.; Lange, O. L.; Mooney, H. A.; Schulze, E. -D.; Sommer, U.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GW5N3D7C","journalArticle","2006","Fernandez, Daniel P.; Neff, Jason C.; Belnap, Jayne; Reynolds, Richard L.","Soil respiration in the cold desert environment of the Colorado Plateau (USA): abiotic regulators and thresholds","Biogeochemistry","","","","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10533-005-4278-0&casa_token=5QD68auabOUAAAAA:0tZ5FpA2J1_i6WtRZTERN35tmrZRdlbA2kvCmpSvXv9xRsu1cdLuk88Y1JB-OJeR7MAq36RHQ7CuZctj0Q","","2006","2024-10-05 01:18:23","2024-10-05 01:18:23","2024-10-05 01:17:50","247–265","","","78","","","Soil respiration in the cold desert environment of the Colorado Plateau (USA)","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\rache\Zotero\storage\N9VSSW3E\Fernandez et al. - 2006 - Soil respiration in the cold desert environment of.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
