"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"P7HSQNBM","journalArticle","2019","Osborn, Blake J.; Williams, David G.","Lodgepole pine tree-ring growth, Δ13C and the inverse texture effect across a soil chronosequence in glacial till","Plant and Soil","","0032-079X, 1573-5036","10.1007/s11104-019-04243-2","http://link.springer.com/10.1007/s11104-019-04243-2","","2019-10","2024-10-06 17:56:13","2024-10-06 17:56:13","2024-10-06 17:55:13","387-399","","1-2","443","","Plant Soil","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\rache\Zotero\storage\UBIPFKF6\Osborn and Williams - 2019 - Lodgepole pine tree-ring growth, Δ13C and the inve.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IBVRC6F4","journalArticle","2023","Gao, Xiaotian; Li, Frank Yonghong","The inverse texture effect of soil on vegetation in temperate grasslands of China: Benchmarking soil texture effect","Geoderma","","","","https://www.sciencedirect.com/science/article/pii/S001670612300318X","","2023","2024-10-06 17:56:13","2024-10-06 17:56:13","2024-10-06 17:55:16","116641","","","438","","","The inverse texture effect of soil on vegetation in temperate grasslands of China","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\rache\Zotero\storage\TAZ3YTRI\S001670612300318X.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SLKY8CBI","journalArticle","2019","Renne, Rachel R.; Bradford, John B.; Burke, Ingrid C.; Lauenroth, William K.","Soil texture and precipitation seasonality influence plant community structure in North American temperate shrub steppe","Ecology","","0012-9658, 1939-9170","10.1002/ecy.2824","https://esajournals.onlinelibrary.wiley.com/doi/10.1002/ecy.2824","Abstract                            In drylands, the coexistence of grasses and woody plants has been attributed to soil‐water resource partitioning. Soil texture and precipitation seasonality can influence the amount and distribution of water in the soil, and their interaction may play an important role in determining the relative importance of grasses and woody plants. We investigated the influence of this interaction on plant functional types across a broad range of precipitation regimes and soil textures in western North America by analyzing plant‐cover data collected at 2,084 plots that included the widespread shrub big sagebrush (               Artemisia tridentata               Nutt.). We characterized how the significance of the inverse‐texture effect varies across soil conditions by quantifying relationships between precipitation and foliar cover on finer‐ vs. coarser‐textured soils across a range of potential texture divisions represented by sand content. We found evidence of the inverse‐texture effect for every plant functional type (except for cheatgrass) that we examined with at least one component of precipitation (annual, warm, or cold season), and provide the first evidence for this effect in locations with cold‐season‐dominated precipitation regimes. The texture and precipitation combinations that exhibited the inverse‐texture effect varied with plant functional type, presumably because of effects of soil texture on water availability at different soil depths with season. Furthermore, we found an inverse‐texture effect that was remarkably similar for shrub cover with cold‐season precipitation and grass cover with warm‐season precipitation. These results provide new insight into how the inverse‐texture effect interacts with precipitation seasonality to influence plant functional type composition in drylands, and further suggest that quantifying the soil‐texture division at which the inverse‐texture effect is relevant under a given set of environmental conditions may provide support for the effect across dryland plant communities.","2019-11","2024-10-06 17:56:13","2024-10-06 17:56:13","2024-10-06 17:55:16","e02824","","11","100","","Ecology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3EFSHVW3","journalArticle","1997","Epstein, H. E.; Lauenroth, W. K.; Burke, I. C.","EFFECTS OF TEMPERATURE AND SOIL TEXTURE ON ANPP IN THE U.S. GREAT PLAINS","Ecology","","0012-9658","10.1890/0012-9658(1997)078[2628:EOTAST]2.0.CO;2","http://doi.wiley.com/10.1890/0012-9658(1997)078[2628:EOTAST]2.0.CO;2","","1997-12","2024-10-06 17:56:13","2024-10-06 17:56:13","2024-10-06 17:55:19","2628-2631","","8","78","","Ecology","","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","C:\Users\rache\Zotero\storage\IA5MHYHN\Epstein et al. - 1997 - EFFECTS OF TEMPERATURE AND SOIL TEXTURE ON ANPP IN.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QMRPBZKQ","journalArticle","1998","Lane, Diana R.; Coffin, Debra P.; Lauenroth, William K.","Effects of soil texture and precipitation on above‐ground net primary productivity and vegetation structure across the Central Grassland region of the United States","Journal of Vegetation Science","","1100-9233, 1654-1103","10.2307/3237123","https://onlinelibrary.wiley.com/doi/10.2307/3237123","Abstract.               A potentially important organizing principle in arid and semi‐arid systems is the inverse‐texture hypothesis which predicts that plant communities on coarse‐textured soils should have higher above‐ground net primary productivity (ANPP) than communities on fine‐textured soils; the reverse is predicted to occur in humid regions. Our objectives were: (1) to test predictions from the inverse‐texture hypothesis across a regional precipitation gradient, and (2) to evaluate changes in community composition and basal cover on coarse‐ and fine‐textured soils across this gradient to determine how these structural parameters may affect ANPP. Sites were located along a precipitation gradient through the Central Grassland region of the United States: mean annual precipitation ranges from 311 mm/y to 711 mm/y, whereas mean annual temperature ranges from 9 °C to 11 °C.                          For both coarse‐ and fine‐textured sites in 1993 and 1994, August ‐ July precipitation in the year of the study explained greater than 92% of the variability in ANPP. Soil texture did not explain a significant proportion of the variability in ANPP. However, soil texture did affect the proportion of ANPP contributed by different functional types. Forbs and shrubs made up a larger proportion of total ANPP on coarse‐ compared to fine‐textured sites. Shrubs contributed more to ANPP at the drier end of the gradient. Basal cover of live vegetation was not significantly related to precipitation and was similar for both soil textures. Our results revealed that across a regional precipitation gradient, soil texture may play a larger role in determining community composition than in determining total ANPP.","1998-04","2024-10-06 17:56:13","2024-10-06 17:56:13","2024-10-06 17:55:22","239-250","","2","9","","J Vegetation Science","","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AWMC4M9U","journalArticle","2006","Fernandez, Daniel P.; Neff, Jason C.; Belnap, Jayne; Reynolds, Richard L.","Soil Respiration in the Cold Desert Environment of the Colorado Plateau (USA): Abiotic Regulators and Thresholds","Biogeochemistry","","0168-2563, 1573-515X","10.1007/s10533-005-4278-0","http://link.springer.com/10.1007/s10533-005-4278-0","","2006-05","2024-10-06 17:56:13","2024-10-06 17:56:13","2024-10-06 17:55:25","247-265","","3","78","","Biogeochemistry","Soil Respiration in the Cold Desert Environment of the Colorado Plateau (USA)","","","","","","","en","http://www.springer.com/tdm","","","","DOI.org (Crossref)","","","","C:\Users\rache\Zotero\storage\AZNIIZ2E\Fernandez et al. - 2006 - Soil Respiration in the Cold Desert Environment of.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ZM2IUZD","bookSection","2008","Tsoar, H.","Land Use and its Effect on the Mobilization and Stabilization of the North-Western Negev Sand Dunes","Arid Dune Ecosystems","978-3-540-75497-8 978-3-540-75498-5","","","http://link.springer.com/10.1007/978-3-540-75498-5_6","","2008","2024-10-06 17:56:13","2024-10-06 17:56:13","2024-10-06 17:55:28","79-89","","","200","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","Series Title: Ecological Studies DOI: 10.1007/978-3-540-75498-5_6","","C:\Users\rache\Zotero\storage\FUZ45JVK\Tsoar - 2008 - Land Use and its Effect on the Mobilization and St.pdf","","","","Breckle, Siegmar-W.; Yair, Aaron; Veste, Maik","Caldwell, M. M.; Heldmaier, G.; Jackson, R. B.; Lange, O. L.; Mooney, H. A.; Schulze, E. -D.; Sommer, U.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ISJGPZ8L","journalArticle","1989","Liang, Y. M.; Hazlett, D. L.; Lauenroth, W. K.","Biomass dynamics and water use efficiencies of five plant communities in the shortgrass steppe","Oecologia","","0029-8549, 1432-1939","10.1007/BF00380143","http://link.springer.com/10.1007/BF00380143","","1989-08","2024-10-06 17:56:13","2024-10-06 17:56:13","2024-10-06 17:55:31","148-153","","2","80","","Oecologia","","","","","","","","en","http://www.springer.com/tdm","","","","DOI.org (Crossref)","","","","C:\Users\rache\Zotero\storage\EXTLF9LR\Liang et al. - 1989 - Biomass dynamics and water use efficiencies of fiv.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58CK82N8","journalArticle","2015","Hoover, David L.; Duniway, Michael C.; Belnap, Jayne","Pulse-drought atop press-drought: unexpected plant responses and implications for dryland ecosystems","Oecologia","","0029-8549, 1432-1939","10.1007/s00442-015-3414-3","http://link.springer.com/10.1007/s00442-015-3414-3","","2015-12","2024-10-06 17:56:13","2024-10-06 17:56:13","2024-10-06 17:55:34","1211-1221","","4","179","","Oecologia","Pulse-drought atop press-drought","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\rache\Zotero\storage\FY2IU3CN\Hoover et al. - 2015 - Pulse-drought atop press-drought unexpected plant.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3DL4SD5J","journalArticle","2015","Sala, Osvaldo E.; Gherardi, Laureano A.; Peters, Debra P. C.","Enhanced precipitation variability effects on water losses and ecosystem functioning: differential response of arid and mesic regions","Climatic Change","","0165-0009, 1573-1480","10.1007/s10584-015-1389-z","http://link.springer.com/10.1007/s10584-015-1389-z","","2015-07","2024-10-06 17:56:13","2024-10-06 17:56:13","2024-10-06 17:55:37","213-227","","2","131","","Climatic Change","Enhanced precipitation variability effects on water losses and ecosystem functioning","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\rache\Zotero\storage\VDEC6PDU\Sala et al. - 2015 - Enhanced precipitation variability effects on wate.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
