Item.Type,Publication.Year,Author,Title,Publication.Title,DOI,Pages,Issue,Volume,Notes,Noymeir,Salaetal,Introduction/Review,Methods,Results,Discussion,Support?,Investigation,Description,Other notes
journalArticle,1986,"Hacker, R. B.",Effect of grazing on chemical and physical properties of an earthy sand in the Western Australian mulga zone,The Rangeland Journal,,45613,1,8,,1,0,0,0,0,1,NA,0,,Hummocks and ITE mentioned here.
journalArticle,1988,"Sala, O. E.; Parton, W. J.; Joyce, L. A.; Lauenroth, W. K.",Primary Production of the Central Grassland Region of the United States,Ecology,10.2307/1943158,40-45,1,69,,1,0,1,0,0,1,1,1,"ANPP in Great Plains, with water holding capacity--first investigation of ITE.",
journalArticle,1989,"Gosz, James R.; Sharpe, Peter JH","Broad-scale concepts for interactions of climate, topography, and biota at biome transitions",Landscape Ecology,,229-243,4-Mar,3,,1,1,1,0,0,0,NA,0,,
journalArticle,1989,"Liang, Y. M.; Hazlett, D. L.; Lauenroth, W. K.",Biomass dynamics and water use efficiencies of five plant communities in the shortgrass steppe,Oecologia,,148-153,,80,,1,1,0,0,0,1,1,1,"Five plant communities in SGS, higher productivity and water use efficiency on sandier sites. These also favored non-grass functional types.",
journalArticle,1989,"Tongway, D. J.; Ludwig, J. A.; Whitford, W. G.",Mulga log mounds: Fertile patches in the semi-arid woodlands of eastern Australia,Australian Journal of Ecology,10.1111/j.1442-9993.1989.tb01436.x,263-268,3,14,,1,0,0,0,0,1,1,0,"Mounds of soil/termite galleries under fallen Mulga trees are enriched in sand, differences in plant community may have to do with ITE.",
journalArticle,1990,"Coughenour, Michael B.; Coppock, David L.; Ellis, James E.",Herbaceous forage variability in an arid pastoral region of Kenya: importance of topographic and rainfall gradients,Journal of Arid Environments,,147-159,2,19,,1,1,0,0,0,1,NA,0,,
document,1990,"Detling, T.; Doehring, D.; DeCoursey, W.; Hanson, O.; Hautaluoma, D.; Hoffer, B.; Wiens, J. A.; Woodmansee, R. G.",Long-Term Ecological Research Program: Shortgrass steppe,,,,,NA,,0,1,1,0,0,1,NA,0,,
journalArticle,1991,"Cornelius, Joe M.; Kemp, Paul R.; Ludwig, John A.; Cunningham, Gary L.",The distribution of vascular plant species and guilds in space and time along a desert gradient,Journal of Vegetation Science,10.2307/3235898,59-72,1,2,,1,0,0,0,1,0,NA,0,,
journalArticle,1991,"Dargie, T. C. D.; El Demerdash, M. A.",A quantitative study of vegetation - environment relationships in two Egyptian deserts,Journal of Vegetation Science,10.2307/3235891,45361,1,2,,1,0,0,0,1,1,NA,0,,
bookSection,1991,"Gosz, James R.",Fundamental Ecological Characteristics of Landscape Boundaries,Ecotones,,45534,,NA,,1,1,1,0,0,0,NA,0,,
